input_text,target_text,intent
Housing options,"I'm not authorized to give legal/definitive visa advice — please contact Admissions at ALU or I can schedule a human admissions officer to help. For accommodation, ALU provides campus housing options; check the portal for details.",visa_accommodation
Goodbye,Goodbye! We look forward to receiving your application.,goodbye
How much does ALU cost?,"Tuition costs: BSE & BEL approximately US$3,000 per year, IBT around US$4,000 per year. Additional costs for term/location. Visit https://www.alueducation.com for current rates.",tuition_fees
How much is IBT?,"ALU lists tuition around US$3,000/year for Software Engineering (BSE) and Entrepreneurial Leadership (BEL), and US$4,000/year for International Business & Trade (IBT). Additional term-location costs may apply. Please confirm on https://www.alueducation.com",tuition_fees
See you later,Thank you for your interest in ALU! Feel free to contact us with any more questions.,goodbye
Are there scholarships?,"Yes — ALU offers grants and full-ride scholarships (e.g., Mastercard Foundation Scholars program). Do you want to check scholarship eligibility? Visit https://www.alueducation.com/scholarships",scholarships
Goodbye,Goodbye! We look forward to receiving your application.,goodbye
Contact information,"ALU has campuses in Rwanda (Kigali), Mauritius, and South Africa. Contact Sheila Bwiza at sbwiza@alueducation.com for Rwanda admissions. Visit https://www.alueducation.com/contact for more information.",contact_support
Goodbye,Thank you for your interest in ALU! Feel free to contact us with any more questions.,goodbye
Am I eligible if I finished high school in Kenya?,"ALU has country-specific eligibility rules. For example, they list minimum passes and program-subject thresholds (and an internal maths test for some programs). Please upload your certificate or tell me your exact grades and program interest so I can check.",eligibility_check
Do I need A-levels?,Entry requirements vary by country and program. ALU lists minimum secondary certificate/pass requirements and program-specific subject thresholds. Please share your country and qualification type so I can provide specific guidance.,admission_requirements
How do I start an application?,"Great! To apply to ALU: 1) Register on ALU's admission portal NOW at https://start.alueducation.com, 2) Complete personal details (name, age, nationality, academic history), 3) Provide financing information, 4) Submit and get admission decision within 1 week!",apply_start
When are intakes?,"ALU runs multiple intakes; the portal lists January and May (e.g., Jan 2026 & May 2026 for ALU Rwanda). Which intake do you want? Please check https://apply.alueducation.com for current deadlines.",application_deadlines
What programmes do you offer?,ALU offers three bachelor's degrees: Bachelor of Software Engineering (BSE) - combines technical skills with leadership and entrepreneurship; Bachelor of Entrepreneurial Leadership (BEL) - prepares you to start ventures or become business leaders; and BSc (Hons) International Business & Trade (IBT) - fosters practical entrepreneurial mindset for African business realities. Which one interests you?,programs_list
Admission criteria,"ALU has country-specific entry requirements. Tell me your country and highest qualification (e.g., A-levels, High School Diploma, IB, national certificates), and I'll provide guidance or help you check eligibility.",admission_requirements
What programs are available?,ALU offers three bachelor's degrees: Bachelor of Software Engineering (BSE) - combines technical skills with leadership and entrepreneurship; Bachelor of Entrepreneurial Leadership (BEL) - prepares you to start ventures or become business leaders; and BSc (Hons) International Business & Trade (IBT) - fosters practical entrepreneurial mindset for African business realities. Which one interests you?,programs_list
How can I get funding?,"Yes — ALU offers grants and full-ride scholarships (e.g., Mastercard Foundation Scholars program). Do you want to check scholarship eligibility? Visit https://www.alueducation.com/scholarships",scholarships
Are there scholarships?,ALU provides grants and partners with the Mastercard Foundation to support eligible students with financial need and strong potential. Would you like to start a scholarship pre-screen?,scholarships
Is campus accommodation available?,"For visa assistance, please contact ALU admissions directly. Campus accommodation is available at ALU Rwanda and other locations. Visit the portal for housing information and applications.",visa_accommodation
What are the fees?,"ALU lists tuition around US$3,000/year for Software Engineering (BSE) and Entrepreneurial Leadership (BEL), and US$4,000/year for International Business & Trade (IBT). Additional term-location costs may apply. Please confirm on https://www.alueducation.com",tuition_fees
How are you?,"I'm doing well, thank you! How about you?",general_conversation
Visa information,"For visa assistance, please contact ALU admissions directly. Campus accommodation is available at ALU Rwanda and other locations. Visit the portal for housing information and applications.",visa_accommodation
Are there scholarships?,ALU provides grants and partners with the Mastercard Foundation to support eligible students with financial need and strong potential. Would you like to start a scholarship pre-screen?,scholarships
Good afternoon,Hello! Welcome to African Leadership University (ALU) - crafting tomorrow's leaders through entrepreneurship and practical learning. How can I help you today?,greeting
Hi,Hello! Welcome to African Leadership University (ALU) - crafting tomorrow's leaders through entrepreneurship and practical learning. How can I help you today?,greeting
Requirements for admission,Entry requirements vary by country and program. ALU lists minimum secondary certificate/pass requirements and program-specific subject thresholds. Please share your country and qualification type so I can provide specific guidance.,admission_requirements
Are there scholarships?,ALU provides grants and partners with the Mastercard Foundation to support eligible students with financial need and strong potential. Would you like to start a scholarship pre-screen?,scholarships
Is campus accommodation available?,"For visa assistance, please contact ALU admissions directly. Campus accommodation is available at ALU Rwanda and other locations. Visit the portal for housing information and applications.",visa_accommodation
When do applications close?,"Applications are open for January 2026 and May 2026 intakes. For specific deadlines, please check the application portal at https://apply.alueducation.com",application_deadlines
What documents are required?,"Required documents typically include: secondary school transcripts, national ID/passport, proof of English proficiency, a short mission statement (100-300 words), and recommendation letters. The exact list varies by intake — upload on https://apply.alueducation.com",documents_upload
Deadline for applications,"Applications are open for January 2026 and May 2026 intakes. For specific deadlines, please check the application portal at https://apply.alueducation.com",application_deadlines
How can I contact admissions?,"ALU has campuses in Rwanda (Kigali), Mauritius, and South Africa. Contact Sheila Bwiza at sbwiza@alueducation.com for Rwanda admissions. Visit https://www.alueducation.com/contact for more information.",contact_support
Hi,Greetings! ALU combines pan-African leadership with global opportunities. What can I help you with regarding admissions?,greeting
What can I study?,ALU offers three bachelor's degrees: Bachelor of Software Engineering (BSE) - combines technical skills with leadership and entrepreneurship; Bachelor of Entrepreneurial Leadership (BEL) - prepares you to start ventures or become business leaders; and BSc (Hons) International Business & Trade (IBT) - fosters practical entrepreneurial mindset for African business realities. Which one interests you?,programs_list
Good day,Greetings! ALU combines pan-African leadership with global opportunities. What can I help you with regarding admissions?,greeting
Visa information,"I'm not authorized to give legal/definitive visa advice — please contact Admissions at ALU or I can schedule a human admissions officer to help. For accommodation, ALU provides campus housing options; check the portal for details.",visa_accommodation
How can I contact admissions?,"ALU has campuses in Rwanda (Kigali), Mauritius, and South Africa. Contact Sheila Bwiza at sbwiza@alueducation.com for Rwanda admissions. Visit https://www.alueducation.com/contact for more information.",contact_support
What are the fees?,"Tuition costs: BSE & BEL approximately US$3,000 per year, IBT around US$4,000 per year. Additional costs for term/location. Visit https://www.alueducation.com for current rates.",tuition_fees
How can I get funding?,"Yes — ALU offers grants and full-ride scholarships (e.g., Mastercard Foundation Scholars program). Do you want to check scholarship eligibility? Visit https://www.alueducation.com/scholarships",scholarships
Good morning,Hi there! ALU is Rwanda's top choice for leading employers worldwide - 75% of our alumni get employed within 6 months earning $12k+ annually. How can I assist with your admissions questions?,greeting
When is the application deadline?,"ALU runs multiple intakes; the portal lists January and May (e.g., Jan 2026 & May 2026 for ALU Rwanda). Which intake do you want? Please check https://apply.alueducation.com for current deadlines.",application_deadlines
Good afternoon,Hi there! ALU is Rwanda's top choice for leading employers worldwide - 75% of our alumni get employed within 6 months earning $12k+ annually. How can I assist with your admissions questions?,greeting
I need to talk to an admissions officer,"ALU has campuses in Rwanda (Kigali), Mauritius, and South Africa. Contact Sheila Bwiza at sbwiza@alueducation.com for Rwanda admissions. Visit https://www.alueducation.com/contact for more information.",contact_support
Hello,Hi there! ALU is Rwanda's top choice for leading employers worldwide - 75% of our alumni get employed within 6 months earning $12k+ annually. How can I assist with your admissions questions?,greeting
How much does it cost?,"Tuition costs: BSE & BEL approximately US$3,000 per year, IBT around US$4,000 per year. Additional costs for term/location. Visit https://www.alueducation.com for current rates.",tuition_fees
Goodbye,Have a great day! Don't hesitate to reach out if you need more information about ALU.,goodbye
Begin application process,"Great! To apply to ALU: 1) Register on ALU's admission portal NOW at https://start.alueducation.com, 2) Complete personal details (name, age, nationality, academic history), 3) Provide financing information, 4) Submit and get admission decision within 1 week!",apply_start
Hello,Greetings! ALU combines pan-African leadership with global opportunities. What can I help you with regarding admissions?,greeting
Where is ALU located?,"For more information, contact our representative Sheila Bwiza at sbwiza@alueducation.com (Rwanda). ALU Rwanda Campus is located at Bumbogo, Kigali Innovation City, Next to Azam, Kigali, Rwanda.",contact_support
When are intakes?,"ALU runs multiple intakes; the portal lists January and May (e.g., Jan 2026 & May 2026 for ALU Rwanda). Which intake do you want? Please check https://apply.alueducation.com for current deadlines.",application_deadlines
I want to apply to ALU,"Perfect! The 4 quick steps are: 1) Start your application - Register on https://start.alueducation.com, 2) Let us get to know you - Complete personal/academic details, 3) Financing your education - Provide sponsor information, 4) Submit and get decision within 1 week!",apply_start
Hi,Hello! Welcome to African Leadership University (ALU) - crafting tomorrow's leaders through entrepreneurship and practical learning. How can I help you today?,greeting
Hi,Hi there! ALU is Rwanda's top choice for leading employers worldwide - 75% of our alumni get employed within 6 months earning $12k+ annually. How can I assist with your admissions questions?,greeting
Good morning,Greetings! ALU combines pan-African leadership with global opportunities. What can I help you with regarding admissions?,greeting
Admission criteria,Entry requirements vary by country and program. ALU lists minimum secondary certificate/pass requirements and program-specific subject thresholds. Please share your country and qualification type so I can provide specific guidance.,admission_requirements
Scholarship opportunities,"Yes — ALU offers grants and full-ride scholarships (e.g., Mastercard Foundation Scholars program). Do you want to check scholarship eligibility? Visit https://www.alueducation.com/scholarships",scholarships
Are there scholarships?,"Yes — ALU offers grants and full-ride scholarships (e.g., Mastercard Foundation Scholars program). Do you want to check scholarship eligibility? Visit https://www.alueducation.com/scholarships",scholarships
Where is ALU located?,"For more information, contact our representative Sheila Bwiza at sbwiza@alueducation.com (Rwanda). ALU Rwanda Campus is located at Bumbogo, Kigali Innovation City, Next to Azam, Kigali, Rwanda.",contact_support
When will I hear back?,"Application processing includes document verification, automated assessments, shortlisting, and interviews. You'll receive updates via email. For specific status, please check your application portal account.",application_status
Can I apply with my qualifications?,"Eligibility depends on your country and qualification. Tell me your country and exact certificate (e.g., Kenyan KCSE, A-levels, IB) and I'll check ALU's guidance — or you can upload your transcript and I'll run a pre-check.",eligibility_check
Am I eligible?,"Eligibility depends on your country and qualification. Tell me your country and exact certificate (e.g., Kenyan KCSE, A-levels, IB) and I'll check ALU's guidance — or you can upload your transcript and I'll run a pre-check.",eligibility_check
Where is ALU located?,"ALU has campuses in Rwanda (Kigali), Mauritius, and South Africa. Contact Sheila Bwiza at sbwiza@alueducation.com for Rwanda admissions. Visit https://www.alueducation.com/contact for more information.",contact_support
When are intakes?,"Applications are open for January 2026 and May 2026 intakes. For specific deadlines, please check the application portal at https://apply.alueducation.com",application_deadlines
Requirements for admission,"ALU has country-specific entry requirements. Tell me your country and highest qualification (e.g., A-levels, High School Diploma, IB, national certificates), and I'll provide guidance or help you check eligibility.",admission_requirements
Can I apply with my qualifications?,"ALU has country-specific eligibility rules. For example, they list minimum passes and program-subject thresholds (and an internal maths test for some programs). Please upload your certificate or tell me your exact grades and program interest so I can check.",eligibility_check
Cost of attendance,"Tuition costs: BSE & BEL approximately US$3,000 per year, IBT around US$4,000 per year. Additional costs for term/location. Visit https://www.alueducation.com for current rates.",tuition_fees
Am I eligible?,"Eligibility depends on your country and qualification. Tell me your country and exact certificate (e.g., Kenyan KCSE, A-levels, IB) and I'll check ALU's guidance — or you can upload your transcript and I'll run a pre-check.",eligibility_check
Goodbye,Goodbye! Have a great day!,general_conversation
What's your name?,I'm an AI assistant. What's yours?,general_conversation
Am I eligible?,"ALU has country-specific eligibility rules. For example, they list minimum passes and program-subject thresholds (and an internal maths test for some programs). Please upload your certificate or tell me your exact grades and program interest so I can check.",eligibility_check
Deadline for applications,"Applications are open for January 2026 and May 2026 intakes. For specific deadlines, please check the application portal at https://apply.alueducation.com",application_deadlines
How do I apply?,"Great! To apply to ALU: 1) Register on ALU's admission portal NOW at https://start.alueducation.com, 2) Complete personal details (name, age, nationality, academic history), 3) Provide financing information, 4) Submit and get admission decision within 1 week!",apply_start
Can I apply with my qualifications?,"Eligibility depends on your country and qualification. Tell me your country and exact certificate (e.g., Kenyan KCSE, A-levels, IB) and I'll check ALU's guidance — or you can upload your transcript and I'll run a pre-check.",eligibility_check
What programmes do you offer?,Our programs are: BSE (Software Engineering) - technical skills + leadership development; BEL (Entrepreneurial Leadership) - venture creation and business leadership; IBT (International Business & Trade) - African business focus with entrepreneurial mindset.,programs_list
Scholarship opportunities,"Yes — ALU offers grants and full-ride scholarships (e.g., Mastercard Foundation Scholars program). Do you want to check scholarship eligibility? Visit https://www.alueducation.com/scholarships",scholarships
How can I contact admissions?,"For more information, contact our representative Sheila Bwiza at sbwiza@alueducation.com (Rwanda). ALU Rwanda Campus is located at Bumbogo, Kigali Innovation City, Next to Azam, Kigali, Rwanda.",contact_support
Hello,Greetings! ALU combines pan-African leadership with global opportunities. What can I help you with regarding admissions?,greeting
Visa information,"I'm not authorized to give legal/definitive visa advice — please contact Admissions at ALU or I can schedule a human admissions officer to help. For accommodation, ALU provides campus housing options; check the portal for details.",visa_accommodation
Housing options,"I'm not authorized to give legal/definitive visa advice — please contact Admissions at ALU or I can schedule a human admissions officer to help. For accommodation, ALU provides campus housing options; check the portal for details.",visa_accommodation
What are the entry requirements for IBT?,Entry requirements vary by country and program. ALU lists minimum secondary certificate/pass requirements and program-specific subject thresholds. Please share your country and qualification type so I can provide specific guidance.,admission_requirements
Visa information,"For visa assistance, please contact ALU admissions directly. Campus accommodation is available at ALU Rwanda and other locations. Visit the portal for housing information and applications.",visa_accommodation
I have a national diploma — can I apply?,"Eligibility depends on your country and qualification. Tell me your country and exact certificate (e.g., Kenyan KCSE, A-levels, IB) and I'll check ALU's guidance — or you can upload your transcript and I'll run a pre-check.",eligibility_check
Tell me a joke,Why don't scientists trust atoms? Because they make up everything!,general_conversation
Goodbye,Have a great day! Don't hesitate to reach out if you need more information about ALU.,goodbye
Goodbye,Goodbye! We look forward to receiving your application.,goodbye
What documents are required?,"You'll need: scanned passport or national ID, secondary school transcripts/national exams, proof of English proficiency (if applicable), CV/personal statement/mission statement, letters of recommendation (if requested), and passport photo. Upload these on the application portal.",documents_upload
Am I eligible if I finished high school in Kenya?,"ALU has country-specific eligibility rules. For example, they list minimum passes and program-subject thresholds (and an internal maths test for some programs). Please upload your certificate or tell me your exact grades and program interest so I can check.",eligibility_check
How do I upload my transcripts?,"You'll need: scanned passport or national ID, secondary school transcripts/national exams, proof of English proficiency (if applicable), CV/personal statement/mission statement, letters of recommendation (if requested), and passport photo. Upload these on the application portal.",documents_upload
What are the entry requirements for IBT?,"ALU has country-specific entry requirements. Tell me your country and highest qualification (e.g., A-levels, High School Diploma, IB, national certificates), and I'll provide guidance or help you check eligibility.",admission_requirements
Tell me about yourself,I'm an AI assistant designed to help with various tasks and provide information.,general_conversation
When will I hear back?,"The typical process is: application submission → document verification → assessments → interviews → offers. Response times vary, but you'll be notified via email. Check your portal for updates.",application_status
Good morning,Greetings! ALU combines pan-African leadership with global opportunities. What can I help you with regarding admissions?,greeting
Upload documents,"Required documents typically include: secondary school transcripts, national ID/passport, proof of English proficiency, a short mission statement (100-300 words), and recommendation letters. The exact list varies by intake — upload on https://apply.alueducation.com",documents_upload
Requirements for admission,"ALU has country-specific entry requirements. Tell me your country and highest qualification (e.g., A-levels, High School Diploma, IB, national certificates), and I'll provide guidance or help you check eligibility.",admission_requirements
What documents are required?,"Required documents typically include: secondary school transcripts, national ID/passport, proof of English proficiency, a short mission statement (100-300 words), and recommendation letters. The exact list varies by intake — upload on https://apply.alueducation.com",documents_upload
I want to apply to ALU,"Perfect! The 4 quick steps are: 1) Start your application - Register on https://start.alueducation.com, 2) Let us get to know you - Complete personal/academic details, 3) Financing your education - Provide sponsor information, 4) Submit and get decision within 1 week!",apply_start
Application status,"Application processing includes document verification, automated assessments, shortlisting, and interviews. You'll receive updates via email. For specific status, please check your application portal account.",application_status
Housing options,"I'm not authorized to give legal/definitive visa advice — please contact Admissions at ALU or I can schedule a human admissions officer to help. For accommodation, ALU provides campus housing options; check the portal for details.",visa_accommodation
What documents do you need?,"You'll need: scanned passport or national ID, secondary school transcripts/national exams, proof of English proficiency (if applicable), CV/personal statement/mission statement, letters of recommendation (if requested), and passport photo. Upload these on the application portal.",documents_upload
What's the status of my application?,"The typical process is: application submission → document verification → assessments → interviews → offers. Response times vary, but you'll be notified via email. Check your portal for updates.",application_status
See you later,Goodbye! We look forward to receiving your application.,goodbye
Good afternoon,Greetings! ALU combines pan-African leadership with global opportunities. What can I help you with regarding admissions?,greeting
What's the status of my application?,"The typical process is: application submission → document verification → assessments → interviews → offers. Response times vary, but you'll be notified via email. Check your portal for updates.",application_status
Bye,Goodbye! We look forward to receiving your application.,goodbye
Am I eligible?,"Eligibility depends on your country and qualification. Tell me your country and exact certificate (e.g., Kenyan KCSE, A-levels, IB) and I'll check ALU's guidance — or you can upload your transcript and I'll run a pre-check.",eligibility_check
Good day,Hello! Welcome to African Leadership University (ALU) - crafting tomorrow's leaders through entrepreneurship and practical learning. How can I help you today?,greeting
Begin application process,"Perfect! The 4 quick steps are: 1) Start your application - Register on https://start.alueducation.com, 2) Let us get to know you - Complete personal/academic details, 3) Financing your education - Provide sponsor information, 4) Submit and get decision within 1 week!",apply_start
Hey,Greetings! ALU combines pan-African leadership with global opportunities. What can I help you with regarding admissions?,greeting
Bye,Thank you for your interest in ALU! Feel free to contact us with any more questions.,goodbye
Have I been accepted?,"The typical process is: application submission → document verification → assessments → interviews → offers. Response times vary, but you'll be notified via email. Check your portal for updates.",application_status
Degree programs,ALU offers three bachelor's degrees: Bachelor of Software Engineering (BSE) - combines technical skills with leadership and entrepreneurship; Bachelor of Entrepreneurial Leadership (BEL) - prepares you to start ventures or become business leaders; and BSc (Hons) International Business & Trade (IBT) - fosters practical entrepreneurial mindset for African business realities. Which one interests you?,programs_list
Contact information,"For more information, contact our representative Sheila Bwiza at sbwiza@alueducation.com (Rwanda). ALU Rwanda Campus is located at Bumbogo, Kigali Innovation City, Next to Azam, Kigali, Rwanda.",contact_support
What can you do?,"I can help with information, answer questions, and assist with various tasks.",general_conversation
What's your favorite color?,"As an AI, I don't have personal preferences, but I think all colors are beautiful!",general_conversation
Cost of attendance,"ALU lists tuition around US$3,000/year for Software Engineering (BSE) and Entrepreneurial Leadership (BEL), and US$4,000/year for International Business & Trade (IBT). Additional term-location costs may apply. Please confirm on https://www.alueducation.com",tuition_fees
